State,shooting_count,population,Shootings_Density
Alabama,106,5108468,2.0749860819329786
Alaska,5,733406,0.6817506265288258
Arizona,40,7431344,0.5382606430276946
Arkansas,50,3067732,1.6298685804366224
California,294,38965193,0.754519552873766
Colorado,69,5877610,1.1739465531057691
Connecticut,21,3617176,0.580563400840877
Delaware,15,1031890,1.4536433146943957
District of Columbia,68,671803,10.122014935926156
Florida,196,22610726,0.8668452308873231
Georgia,137,11029227,1.2421541418995186
Hawaii,2,1435138,0.13935942048778585
Idaho,3,1964726,0.1526930472747854
Illinois,368,12549689,2.9323435823788144
Indiana,76,6862199,1.1075167012789924
Iowa,16,3207004,0.4989080150819893
Kansas,17,2940546,0.5781239266449156
Kentucky,51,4526154,1.1267844620399572
Louisiana,170,4573749,3.7168633433972875
Maine,4,1395722,0.2865900229415313
Maryland,113,6180253,1.8284041122588346
Massachusetts,34,7001399,0.4856172316418476
Michigan,112,10037261,1.1158422601544387
Minnesota,53,5737915,0.9236804658138017
Mississippi,97,2939690,3.299667652031337
Missouri,119,6196156,1.9205455769673971
Montana,2,1132812,0.17655180206424367
Nebraska,15,1978379,0.7581964830803399
Nevada,28,3194176,0.876595403634615
New Hampshire,2,1402054,0.14264785807108712
New Jersey,71,9290841,0.7641934675235537
New Mexico,17,2114371,0.8040216215602656
New York,157,19571216,0.8021984939515255
North Carolina,129,10835491,1.1905321134039981
North Dakota,1,783926,0.12756306079910604
Ohio,150,11785935,1.2727034384628797
Oklahoma,32,4053824,0.7893781279108318
Oregon,18,4233358,0.4251943728831816
Pennsylvania,201,12961683,1.5507245471132105
Rhode Island,2,1095962,0.18248807896624153
South Carolina,93,5373555,1.730697834115404
South Dakota,4,919318,0.4351051540381021
Tennessee,110,7126489,1.5435370769533217
Texas,276,30503301,0.904820104551963
Utah,6,3417734,0.1755549144550161
Virginia,79,8715698,0.906410479114811
Washington,51,7812880,0.6527682493523514
West Virginia,6,1770071,0.33896945376767373
Wisconsin,60,5910955,1.015064401606847
Wyoming,1,584057,0.17121616554548613
