State,shooting_count,population,Shootings_Density,FIPS,Incidents_Density
Alabama,106,5108468,2.0749860819329786,1,1.154945083340054
Alaska,5,733406,0.6817506265288258,2,0.818100751834591
Arizona,40,7431344,0.5382606430276946,4,0.5651736751790793
Arkansas,50,3067732,1.6298685804366224,5,0.7823369186095787
California,294,38965193,0.754519552873766,6,0.2617720897725311
Colorado,69,5877610,1.1739465531057691,8,0.23819205425334447
Connecticut,21,3617176,0.580563400840877,9,0.13822938115258976
Delaware,15,1031890,1.4536433146943957,10,1.356733760381436
Florida,196,22610726,0.8668452308873231,12,0.5705256876758402
Georgia,137,11029227,1.2421541418995186,13,0.8794813997390751
Hawaii,2,1435138,0.13935942048778585,15,0.06967971024389293
Idaho,3,1964726,0.1526930472747854,16,0.3053860945495708
Illinois,368,12549689,2.9323435823788144,17,0.4143528975100499
Indiana,76,6862199,1.1075167012789924,18,1.0200811722306509
Iowa,16,3207004,0.4989080150819893,19,0.43654451319674065
Kansas,17,2940546,0.5781239266449156,20,0.23805102861849464
Kentucky,51,4526154,1.1267844620399572,21,0.9721277711717278
Louisiana,170,4573749,3.7168633433972875,22,1.0931951009992023
Maine,4,1395722,0.2865900229415313,23,0.35823752867691416
Maryland,113,6180253,1.8284041122588346,24,1.2135425523841823
Massachusetts,34,7001399,0.4856172316418476,25,0.2142428963125798
Michigan,112,10037261,1.1158422601544387,26,0.4582923568491444
Minnesota,53,5737915,0.9236804658138017,27,0.45312626624828006
Mississippi,97,2939690,3.299667652031337,28,1.1906017301143998
Missouri,119,6196156,1.9205455769673971,29,0.484171153857327
Montana,2,1132812,0.17655180206424367,30,0.2648277030963655
Nebraska,15,1978379,0.7581964830803399,31,0.5054643220535601
Nevada,28,3194176,0.876595403634615,32,1.0331302971407963
New Hampshire,2,1402054,0.14264785807108712,33,0.14264785807108712
New Jersey,71,9290841,0.7641934675235537,34,0.11839617102477591
New Mexico,17,2114371,0.8040216215602656,35,1.702634022127621
New York,157,19571216,0.8021984939515255,36,0.26569631646802117
North Carolina,129,10835491,1.1905321134039981,37,1.4766289778654238
North Dakota,1,783926,0.12756306079910604,38,0.12756306079910604
Ohio,150,11785935,1.2727034384628797,39,0.7551373734879753
Oklahoma,32,4053824,0.7893781279108318,40,0.6660377954247644
Oregon,18,4233358,0.4251943728831816,41,0.2598410056508332
Pennsylvania,201,12961683,1.5507245471132105,42,0.42432761239416206
Rhode Island,2,1095962,0.18248807896624153,44,0.18248807896624153
South Carolina,93,5373555,1.730697834115404,45,1.7493074882456772
South Dakota,4,919318,0.4351051540381021,46,0.5438814425476277
Tennessee,110,7126489,1.5435370769533217,47,1.304990437787808
Texas,276,30503301,0.904820104551963,48,0.5638733984889045
Utah,6,3417734,0.1755549144550161,49,0.497405590955879
Virginia,79,8715698,0.906410479114811,51,0.7572543243237662
Washington,51,7812880,0.6527682493523514,53,0.47357696521641185
West Virginia,6,1770071,0.33896945376767373,54,0.45195927169023165
Wisconsin,60,5910955,1.015064401606847,55,0.5921209009373274
Wyoming,1,584057,0.17121616554548613,56,0.5136484966364584
