FIPS,county_name,state_name,shooting_count,population,Shootings_Density
22051,Jefferson Parish,Louisiana,5.0,421777.0,1.1854605632834412
23023,Sagadahoc County,Maine,1.0,37513.0,2.665742542585237
37031,Carteret County,North Carolina,0.0,1.0,0.0
42045,Delaware County,Pennsylvania,3.0,576720.0,0.5201831044527674
53000,,,0.0,1.0,0.0
53073,Whatcom County,Washington,0.0,1.0,0.0
30105,Valley County,Montana,0.0,1.0,0.0
30029,Flathead County,Montana,0.0,1.0,0.0
16021,Boundary County,Idaho,0.0,1.0,0.0
30071,Phillips County,Montana,0.0,1.0,0.0
38079,Rolette County,North Dakota,0.0,1.0,0.0
30053,Lincoln County,Montana,0.0,1.0,0.0
38009,Bottineau County,North Dakota,0.0,1.0,0.0
30035,Glacier County,Montana,0.0,1.0,0.0
30041,Hill County,Montana,0.0,1.0,0.0
30005,Blaine County,Montana,0.0,1.0,0.0
30019,Daniels County,Montana,0.0,1.0,0.0
38067,Pembina County,North Dakota,0.0,1.0,0.0
27069,Kittson County,Minnesota,0.0,1.0,0.0
38095,Towner County,North Dakota,0.0,1.0,0.0
38019,Cavalier County,North Dakota,0.0,1.0,0.0
53047,Okanogan County,Washington,0.0,1.0,0.0
53065,Stevens County,Washington,0.0,1.0,0.0
53051,Pend Oreille County,Washington,0.0,1.0,0.0
53019,Ferry County,Washington,0.0,1.0,0.0
30051,Liberty County,Montana,0.0,1.0,0.0
38023,Divide County,North Dakota,0.0,1.0,0.0
38013,Burke County,North Dakota,0.0,1.0,0.0
30101,Toole County,Montana,0.0,1.0,0.0
38075,Renville County,North Dakota,0.0,1.0,0.0
27135,Roseau County,Minnesota,0.0,1.0,0.0
30091,Sheridan County,Montana,0.0,1.0,0.0
16017,Bonner County,Idaho,0.0,1.0,0.0
38101,Ward County,North Dakota,0.0,1.0,0.0
53055,San Juan County,Washington,0.0,1.0,0.0
27071,Koochiching County,Minnesota,0.0,1.0,0.0
53057,Skagit County,Washington,1.0,131417.0,0.7609365607189329
38105,Williams County,North Dakota,0.0,1.0,0.0
38049,McHenry County,North Dakota,0.0,1.0,0.0
27137,St. Louis County,Minnesota,1.0,1.0,0.0
30085,Roosevelt County,Montana,0.0,1.0,0.0
53007,Chelan County,Washington,0.0,1.0,0.0
38061,Mountrail County,North Dakota,0.0,1.0,0.0
27089,Marshall County,Minnesota,0.0,1.0,0.0
38069,Pierce County,North Dakota,0.0,1.0,0.0
38071,Ramsey County,North Dakota,0.0,1.0,0.0
38099,Walsh County,North Dakota,0.0,1.0,0.0
27007,Beltrami County,Minnesota,0.0,1.0,0.0
30073,Pondera County,Montana,0.0,1.0,0.0
53029,Island County,Washington,0.0,1.0,0.0
53009,Clallam County,Washington,0.0,1.0,0.0
38005,Benson County,North Dakota,0.0,1.0,0.0
30015,Chouteau County,Montana,0.0,1.0,0.0
26000,,,0.0,1.0,0.0
53061,Snohomish County,Washington,4.0,844761.0,0.4735067078143996
30089,Sanders County,Montana,0.0,1.0,0.0
27075,Lake County,Minnesota,0.0,1.0,0.0
38063,Nelson County,North Dakota,0.0,1.0,0.0
38035,Grand Forks County,North Dakota,0.0,1.0,0.0
27119,Polk County,Minnesota,0.0,1.0,0.0
27113,Pennington County,Minnesota,0.0,1.0,0.0
30083,Richland County,Montana,0.0,1.0,0.0
53017,Douglas County,Washington,0.0,1.0,0.0
38053,McKenzie County,North Dakota,0.0,1.0,0.0
53031,Jefferson County,Washington,0.0,1.0,0.0
30099,Teton County,Montana,0.0,1.0,0.0
30055,McCone County,Montana,0.0,1.0,0.0
16079,Shoshone County,Idaho,1.0,14026.0,7.129616426636247
30047,Lake County,Montana,0.0,1.0,0.0
53063,Spokane County,Washington,2.0,551455.0,0.3626769183342249
27029,Clearwater County,Minnesota,0.0,1.0,0.0
16055,Kootenai County,Idaho,0.0,1.0,0.0
30033,Garfield County,Montana,0.0,1.0,0.0
27125,Red Lake County,Minnesota,0.0,1.0,0.0
53025,Grant County,Washington,1.0,102678.0,0.9739184635462319
53043,Lincoln County,Washington,0.0,1.0,0.0
30049,Lewis and Clark County,Montana,0.0,1.0,0.0
53035,Kitsap County,Washington,0.0,1.0,0.0
27061,Itasca County,Minnesota,0.0,1.0,0.0
38055,McLean County,North Dakota,0.0,1.0,0.0
38027,Eddy County,North Dakota,0.0,1.0,0.0
38103,Wells County,North Dakota,0.0,1.0,0.0
38083,Sheridan County,North Dakota,0.0,1.0,0.0
38025,Dunn County,North Dakota,0.0,1.0,0.0
30027,Fergus County,Montana,0.0,1.0,0.0
30021,Dawson County,Montana,0.0,1.0,0.0
53033,King County,Washington,1.0,1.0,0.0
53033,King County,Washington,21.0,2271380.0,0.9245480720971392
53033,King County,Washington,1.0,1.0,0.0
30013,Cascade County,Montana,1.0,84900.0,1.1778563015312131
38091,Steele County,North Dakota,0.0,1.0,0.0
38039,Griggs County,North Dakota,0.0,1.0,0.0
38097,Traill County,North Dakota,0.0,1.0,0.0
53045,Mason County,Washington,0.0,1.0,0.0
30063,Missoula County,Montana,1.0,121849.0,0.8206879005982815
30077,Powell County,Montana,0.0,1.0,0.0
30069,Petroleum County,Montana,0.0,1.0,0.0
53037,Kittitas County,Washington,0.0,1.0,0.0
38031,Foster County,North Dakota,0.0,1.0,0.0
38057,Mercer County,North Dakota,0.0,1.0,0.0
53027,Grays Harbor County,Washington,0.0,1.0,0.0
